page,sentence,head,tail,reldescription,time,inferredtime,type,sourceintext,sourceinfootnote,sourcedate,comments
,"The friend gave that proposal to Kushner before the inauguration, and Kushner later gave copies to Bannon and incoming Secretary of State Rex Tillerson. ",Kushner,Bannon,association,,,positive,,,,
,"The friend gave that proposal to Kushner before the inauguration, and Kushner later gave copies to Bannon and incoming Secretary of State Rex Tillerson. ",Kushner,Rex Tillerson,association,,,positive,,,,
,"On December 29, 2016, then-President Obama imposed sanctions on Russia for having interfered in the election.  ",Obama,Russia,sanction,29/12/2016,,negative,,,,
,"On December 29, 2016, then-President Obama imposed sanctions on Russia for having interfered in the election.  ",Russia,election,election interference,,2016,negative,,,,
,Incoming National Security Advisor Flynn called Russian Ambassador Kislyak and asked Russia not to escalate the situation in response to the sanctions. ,Flynn,Kislyak,call,,29/12/2016,neutral,,,,
,Incoming National Security Advisor Flynn called Russian Ambassador Kislyak and asked Russia not to escalate the situation in response to the sanctions. ,Flynn,Russia,request,,29/12/2016,neutral,,,,
,"The following day, Putin announced that Russia would not take retaliatory measures in response to the sanctions at that time.  ",Putin,Russia,president,,,is part of,,,,
,"Hours later, President-Elect Trump tweeted, ""Great move on delay (by V. Putin).""",Trump,Putin,tweet,30/12/2016,,neutral,,,,
," The next day, on December 31 , 2016, Kislyak called Flynn and told him the request had been received at the highest levels and Russia had chosen not to retaliate as a result of Flynn's request. ",Kislyak,Flynn,call,31/12/2016,,neutral,,,,
," The next day, on December 31 , 2016, Kislyak called Flynn and told him the request had been received at the highest levels and Russia had chosen not to retaliate as a result of Flynn's request. ",Russia,Flynn,request acknowledgement,31/12/2016,,neutral,Kislyak,,31/12/2016,
,"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the CIA, FBI, and NSA-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",CIA,FBI,coordination,6/1/17,,neutral,,,,
,"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the CIA, FBI, and NSA-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",CIA,NSA,coordination,6/1/17,,neutral,,,,
,"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the CIA, FBI, and NSA-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",FBI,NSA,coordination,6/1/17,,neutral,,,,
,"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the CIA, FBI, and NSA-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",CIA,President-Elect,biefing,6/1/17,,neutral,,,,
,"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the CIA, FBI, and NSA-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",FBI,President-Elect,biefing,6/1/17,,neutral,,,,
,"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the CIA, FBI, and NSA-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",NSA,President-Elect,biefing,6/1/17,,neutral,,,,
,"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the CIA, FBI, and NSA-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",Russia,Trump,support,,2016,positive,,,,
,"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the CIA, FBI, and NSA-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",Russia,Clinton,damage,,2016,negative,,,,
16,"Between mid-January 2017 and early February 2017, three congressional committees-the House Permanent Select Committee on Intelligence (HPSCI), the Senate Select Committee on Intelligence (SSCI), and the Senate Judiciary Committee (SJC)-announced that they would conduct inquiries, or had already been conducting inquiries, into Russian interference in the election. ",House Permanent Select Committee on Intelligence (HPSCI),Russian interference ,inquiry conduct,17-Jan,,neutral,,,,
,"Between mid-January 2017 and early February 2017, three congressional committees-the House Permanent Select Committee on Intelligence (HPSCI), the Senate Select Committee on Intelligence (SSCI), and the Senate Judiciary Committee (SJC)-announced that they would conduct inquiries, or had already been conducting inquiries, into Russian interference in the election. ",Senate Select Committee on Intelligence (SSCI),Russian interference ,inquiry conduct,17-Jan,,neutral,,,,
,"Between mid-January 2017 and early February 2017, three congressional committees-the House Permanent Select Committee on Intelligence (HPSCI), the Senate Select Committee on Intelligence (SSCI), and the Senate Judiciary Committee (SJC)-announced that they would conduct inquiries, or had already been conducting inquiries, into Russian interference in the election. ",Senate Judiciary Committee,Russian interference ,inquiry conduct,17-Jan,,neutral,,,,
,Then-FBI Director Comey later confirmed to Congress the existence of the FBI's investigation into Russian interference that had begun before the election. ,Comey,Congress,investigation acknowledgement,,17-Jan,neutral,,,,
,Then-FBI Director Comey later confirmed to Congress the existence of the FBI's investigation into Russian interference that had begun before the election. ,Comey,FBI,former director,,,is part of,,,,
,Then-FBI Director Comey later confirmed to Congress the existence of the FBI's investigation into Russian interference that had begun before the election. ,FBI,Russian interference ,investigation,,2016,neutral,Comey,,17-Jan,
,"On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump Campaign and the Russian government and whether there was any coordination between the Campaign and Russia's efforts .... ",Comey,HPSCI,testimony,20/3/2017,,neutral,,,,
,"On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump Campaign and the Russian government and whether there was any coordination between the Campaign and Russia's efforts .... ",Department of Justice,Comey,authorization,,,neutral,Comey,,20/3/2017,
,"On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump Campaign and the Russian government and whether there was any coordination between the Campaign and Russia's efforts .... ",FBI,Russian government,investigation,,,neutral,Comey,,20/3/2017,
,"On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump Campaign and the Russian government and whether there was any coordination between the Campaign and Russia's efforts .... ",Trump Campaign,Russian government,association,,,positive,Comey,,20/3/2017,
,"The investigation continued under then-Director Corney for the next seven weeks until May 9, 2017, when President Trump fired Comey as FBI Director-an action which is  analyzed in Volume II of the report. ",Trump,Comey,dismissal,9/5/17,,negative,,,,
,"On May 17, 2017, Acting Attorney General Rod Rosenstein appointed the Special Counsel and authorized him to conduct the investigation that Corney had confirmed in his congressional testimony, as well as matters arising directly from the investigation, and any other matters within the scope of 28 C.F.R. § 600.4(a), which generally covers efforts to interfere with or obstruct the investigation. ",Rod Rosenstein,Special Counsel,apointment,17/5/2017,,neutral,,,,
,"On May 17, 2017, Acting Attorney General Rod Rosenstein appointed the Special Counsel and authorized him to conduct the investigation that Corney had confirmed in his congressional testimony, as well as matters arising directly from the investigation, and any other matters within the scope of 28 C.F.R. § 600.4(a), which generally covers efforts to interfere with or obstruct the investigation. ",Rod Rosenstein,Special Counsel,authorization,17/5/2017,,neutral,,,,
,"On May 17, 2017, Acting Attorney General Rod Rosenstein appointed the Special Counsel and authorized him to conduct the investigation that Comey had confirmed in his congressional testimony, as well as matters arising directly from the investigation, and any other matters within the scope of 28 C.F.R. § 600.4(a), which generally covers efforts to interfere with or obstruct the investigation. ",Special Counsel,Comey,testimony investigation,17/5/2017,,neutral,,,,
,President Trump reacted negatively to the Special Counsel's appointment. ,Trump,Special Counsel,reaction on the appointment,,2017,negative,,,,
,"He told advisors that it was the end of his presidency, sought to have Attorney General Jefferson (Jeff) Sessions unrecuse from the Russia investigation and to have the Special Counsel removed, and engaged in efforts to curtail the Special Counsel's investigation and prevent the disclosure of evidence to it, including through public and private contacts with potential witnesses. ",He,advisors,information,,2017,neutral,,,,
,"He told advisors that it was the end of his presidency, sought to have Attorney General Jefferson (Jeff) Sessions unrecuse from the Russia investigation and to have the Special Counsel removed, and engaged in efforts to curtail the Special Counsel's investigation and prevent the disclosure of evidence to it, including through public and private contacts with potential witnesses. ",He,Sessions,plan on unrecuse,,,negative,,,,
,"He told advisors that it was the end of his presidency, sought to have Attorney General Jefferson (Jeff) Sessions unrecuse from the Russia investigation and to have the Special Counsel removed, and engaged in efforts to curtail the Special Counsel's investigation and prevent the disclosure of evidence to it, including through public and private contacts with potential witnesses. ",He,Special Counsel,plan on removal,,,negative,,,,
,"He told advisors that it was the end of his presidency, sought to have Attorney General Jefferson (Jeff) Sessions unrecuse from the Russia investigation and to have the Special Counsel removed, and engaged in efforts to curtail the Special Counsel's investigation and prevent the disclosure of evidence to it, including through public and private contacts with potential witnesses. ",He,Special Counsel,plan on curtailing the investigation,,,negative,,,,
22,"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord""). ",Prigozhin,IRA,funding,,,is part of ,,,,
,"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord""). ",Prigozhin,Concord Management and Consulting LLC,control,,,is part of ,,,,
,"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord""). ",Prigozhin,Concord Catering,control,,,is part of ,,,,
,"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord""). ",Concord Management and Consulting LLC,Concord,affiliation,,,is part of ,,,,
,"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord""). ",Concord Catering,Concord,affiliation,,,is part of ,,,,
,The IRA conducted social media operations targeted at large U.S. audiences with the goal of sowing discord in the U.S. political system,IRA,U.S. audiences,media operations,,,negative,,,,
,The IRA and its employees began operations targeting the United States as early as 2014. ,IRA,United States,media operations,2014,,negative,,,,
,"Using fictitious U.S. personas, IRA employees operated social media accounts and group pages designed to attract U.S. audiences.  ",IRA,U.S. audiences,media operations,,2014,negative,,,,
,IRA employees travelled to the United States in mid-2014 on an intelligence-gathering mission to obtain information and photographs for use in their social media posts. ,IRA,United States,media operations,,2014,negative,,,,
,"By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Clinton. ",IRA,Trump Campaign,support,2016,,positive,,,,
,"By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Clinton. ",IRA,Clinton,disparage,2016,,negative,,,,
,"The IRA made various expenditures to carry out those activities, including buying political advertisements on social media in the names of U.S. persons and entities. ",IRA,U.S. persons and entities,fake identities,,,is part of ,,,,
,"Some IRA employees, posing as U.S. persons and without revealing their Russian association, communicated electronically with individuals associated with the Trump Campaign and with other political activists to seek to coordinate political activities, including the staging of political rallies.",IRA,Trump Campaign,contact via fake identities,,,neutral,,,,
,"By the end of the 2016 U.S. election, the IRA had the ability to reach millions of U.S. persons through their social media accounts.  ",IRA,U.S. persons,media operations,,2014,negative,,,,
23,"In November 2017, a Facebook representative testified that Facebook had identified 470 IRA-controlled Facebook accounts that collectively made 80,000 posts between January 2015 and August 2017. ",Facebook,IRA,identification,17-Nov,,neutral,,,,
,Facebook estimated the IRA reached as many as 126 million persons through its Face book accounts. ,Facebook,IRA,identification,,17-Nov,neutral,,,,
,"In January 2018, Twitter announced that it had identified 3,814 IRA-controlled Twitter accounts and notified approximately 1 .4 million people Twitter believed may have been in contact with an iRA-controlled account.",Twitter,IRA,identification,18-Jan,,neutral,,,,
24,"Two individuals headed the IRA's management: its general director, Mikhail Bystov, and its executive director, Mikhail Burchik",Mikhail Bystov,IRA,general director,,,is part of ,,,,
,"Two individuals headed the IRA's management: its general director, Mikhail Bystov, and its executive director, Mikhail Burchik",Mikhail Burchik,IRA,executive director,,,is part of ,,,,
,"The IRA's U.S. operations are part of a larger set of interlocking operations known as ""Project Lakhta,""",Project Lakhta,IRA,organizational project,,,is part of ,,,,
,"Until at least February 2018, Prigozhin and two Concord companies funded the IRA. ",Prigozhin,IRA,funding,,,is part of ,,,,
,"Until at least February 2018, Prigozhin and two Concord companies funded the IRA. ",Concord,IRA,funding,,,is part of ,,,,
,Prigozhin is a wealthy Russian businessman who served as the head of Concord.,Prigozhin,Concord,head officer,,,is part of ,,,,
25,Prigozhin was sanctioned by the U.S. Treasury Department in December 2016,U.S. Treasury Department,Prigozhin,sanction,16-Dec,,negative,U.S. Treasury Department,,,
27,IRA employees were aware that Prigozhin was involved in the IRA's U.S. operations,Prigozhin,IRA,involvement,,,is part of ,,,,
,"In May 2016, IRA employees, claiming to be U.S. social activists and administrators ofFacebook groups, recruited U.S. persons to hold signs (including one in front of the White House) that read ""Happy 55th Birthda Dear Boss,"" as an homa e to Pri ozhin whose 55th birthda was on June 1, 2016 ",IRA,U.S. persons,recruitment,16-May,,neutral,,,,
,"In May 2016, IRA employees, claiming to be U.S. social activists and administrators ofFacebook groups, recruited U.S. persons to hold signs (including one in front of the White House) that read ""Happy 55th Birthda Dear Boss,"" as an homa e to Prigozhin whose 55th birthda was on June 1, 2016 ",IRA,Prigozhin,homage ,16-May,,positve,Internet Research Agency Indictment ,,,
,"By the spring of 2014, the IRA began to consolidate U.S. operations within a single general department, known internally as the ""Translator"" department.","""Translator"" department",IRA,consolidation,2014,,is part of ,,,,
,"IRA subdivided the Translator Department into different responsibilities, ranging from operations on different social media platforms to analytics to graphics and IT.",Translator Department,IRA,consolidation,2014,,is part of ,,,,
29,"In June 2014, four IRA employees applied to the U.S. Department of State to enter the United States, while lying about the purpose of their trip and claiming to be four friends who had met at a party.",IRA employees,U.S. Department of State,visa application,16-Jun,,neutral,,,,
,"Ultimately, two IRA employees-Bogacheva and Krylova-received visas and entered the United States on June 4, 2014. ",Bogacheva,IRA,employment,,,is part of ,,,,
,"Ultimately, two IRA employees-Bogacheva and Krylova-received visas and entered the United States on June 4, 2014. ",Krylova,IRA,employment,,,is part of ,,,,
,"Prior to traveling, Krylova and Bogacheva compiled itineraries and instructions for the trip.",Bogacheva,Krylova,association,,,positive,,,,
,"Starting as early as 2014, the IRA's U.S. operations included social media specialists focusing on Facebook, YouTube, and Twitter.",IRA,Facebook,media platform,2014,,neutral,,,,
,"Starting as early as 2014, the IRA's U.S. operations included social media specialists focusing on Facebook, YouTube, and Twitter.",IRA,YouTube,media platform,2014,,neutral,,,,
,"Starting as early as 2014, the IRA's U.S. operations included social media specialists focusing on Facebook, YouTube, and Twitter.",IRA,Twitter,media platform,2014,,neutral,,,,
,The IRA later added specialists who operated on Tumblr and Instagram accounts.,IRA,Tumblr,media platform,2014,,neutral,,,,
,The IRA later added specialists who operated on Tumblr and Instagram accounts.,IRA,Instagram,media platform,2014,,neutral,,,,
,"Initially, the IRA created social media accounts that pretended to be the personal accounts of U.S. persons. ",IRA,U.S. persons,fake identities,,2014,is part of ,,,,
,"By early 2015, the IRA began to create larger social media groups or public social media pages that claimed (falsely) to  be affiliated with U.S. political and grassroots organizations. ",IRA,U.S. political and grassroots organizations,false affilication,2015,,is part of ,,,,
,"In certain cases, the IRA created accounts that mimicked real U.S. organizations. ",IRA,U.S. organizations,mimicking account,,2015,is part of ,,,,
,"For example, one IRA-controlled Twitter account, @TEN_ GOP, purported to be connected to the Tennessee Republican Party.",IRA,Tennessee Republican Party,connection via fake identities,,,neutral,,,,
,"More commonly, the IRA created accounts in the names of fictitious U.S. organizations and grassroots groups and used these accounts to pose as anti­immigration groups, Tea Party activists, Black Lives Matter protestors, and other U.S. social and political activists. ",IRA,U.S. organizations,fake identities,,2015,is part of ,,,,
31,"By February 2016, internal IRA documents referred to support for the Trump Campaign and opposition to candidate Clinton.",IRA,Trump,support,16-Feb,,positive,internal IRA documents,,,
,"By February 2016, internal IRA documents referred to support for the Trump Campaign and opposition to candidate Clinton.",IRA,Clinton,oppose,16-Feb,,negative,internal IRA documents,,,
,"For example, [Harm to Ongoing Matter] directions to IRA operators [Harm to Ongoing Matter] ""Main idea: Use any opportunity to criticize Hillary [Clinton and the rest (except Sanders and Trump - we support them).",IRA,Trump,support,16-Feb,,positive,internal IRA documents,,,
,"For example, [Harm to Ongoing Matter] directions to IRA operators [Harm to Ongoing Matter] ""Main idea: Use any opportunity to criticize Hillary [Clinton and the rest (except Sanders and Trump - we support them).",IRA,Clinton,oppose,16-Feb,,negative,internal IRA documents,,,
,"In [Harm to Ongoing Matter] 2016 internal [Harm to Ongoing Matter] reviewing the IRA-controlled Facebook group ""Secured Borders,"" the author criticized the ""lower number of posts dedicated to criticizing Clinton"" and reminded the Facebook specialist ""it is imperative to intensify criticizing Clinton.""",IRA,Clinton,critics,2016,,negative,,,,
32,IRA employees also acknowledged that their work focused on influencing the U.S. presidential election. ,IRA,U.S. presidential election,election interference,,2016,negative,,,,
,Many IRA operations used Facebook accounts created and operated by its specialists.,IRA,Facebook,media platform,,,neutral,,,,
,"IRA Facebook groups active during the 2016 Campaign covered a range of political issues and included purported conservative groups (with names such as ""Being Patriotic,"" ""Stop All Immigrants,"" ""Secured Borders,"" and ""Tea Party News""), purported Black social justice groups (""Black Matters,"" ""Blacktivist,"" and ""Don't Shoot Us""), LGBTQ groups (""LGBT United""), and religious groups (""United Muslims of America""). ",IRA,Facebook,media platform,,,neutral,,,,
33,"Throughout 2016, IRA accounts published an increasing number of materials supporting the Trump Campaign and opposing the Clinton Campaign. ",IRA,Trump Campaign,support,2016,,positive,,,,
,"Throughout 2016, IRA accounts published an increasing number of materials supporting the Trump Campaign and opposing the Clinton Campaign. ",IRA,Clinton Campaign,oppose,2016,,negative,,,,
,"To reach larger U.S. audiences, the IRA purchased advertisements from Facebook that promoted the IRA groups on the newsfeeds of U.S. audience members. ",IRA,U.S. audiences,media operations,,,negative,,,,
,"According to Facebook, the  IRA purchased over 3,500 advertisements,  and the expenditures totaled  approximately $100,000.",IRA,Facebook,media platform,,,neutral,Facebook,,,
,"As early as March 2016, the IRA purchased advertisements that overtly opposed the Clinton Campaign.  ",IRA,Clinton Campaign,oppose,16-Mar,,negative,,,,
,"For example,  on March 18,  2016, the IRA purchased an advertisement depicting candidate Clinton and a caption that read in part, ""If one day God lets this liar enter the White House as a president - that day would be a real national tragedy.""",IRA,Clinton,oppose,18/3/2016,,negative,Facebook Advertisement,,18/3/2016,
,"IRA-purchased  advertisements featuring  Clinton were, with very few exceptions, negative.",IRA,Clinton,oppose,,2016,negative,Facebook,,,
,IRA-purchased  advertisements referencing  candidate Trump largely  supported  his Campaign.  ,IRA,Trump,support,,2016,positive,,,,
,"The first known IRA advertisement explicitly endorsing the Trump Campaign was purchased on April 19, 2016. ",IRA,Trump Campaign,support,19/4/2016,,positive,,,,
,"The IRA bought an advertisement for its Instagram account ""Tea Party News"" asking U.S. persons to help them ""make a patriotic team of young Trump supporters"" by uploading photos with the hashtag ""#KIDS4TRUMP.""I",IRA,Trump,support,,2016,positive,Facebook Advertisement,,19/4/2016,
,"The IRA bought an advertisement for its Instagram account ""Tea Party News"" asking U.S. persons to help them ""make a patriotic team of young Trump supporters"" by uploading photos with the hashtag ""#KIDS4TRUMP.""I",IRA,Instagram,media platform,,2016,neutral,,,,
,"In subsequent months, the IRA purchased dozens of advertisements supporting the Trump Campaign, predominantly through the Facebook groups ""Being Patriotic,"" ""Stop All Invaders,"" and ""Secured Borders."" ",IRA,Trump Campaign,support,,2016,positive,,,,
,"In subsequent months, the IRA purchased dozens of advertisements supporting the Trump Campaign, predominantly through the Facebook groups ""Being Patriotic,"" ""Stop All Invaders,"" and ""Secured Borders."" ",IRA,Facebook,media platform,,2016,neutral,,,,
34,"Collectively, the IRA's social media accounts reached tens of millions of U.S. persons. ",IRA,U.S. persons,media operations,,2016,negative,,,,
,"For example, at the time they were deactivated by Facebook in mid-2017, the IRA's ""United Muslims of America"" Facebook group had over 300,000 followers, the ""Don't Shoot Us"" Facebook group had over 250,000 followers, the ""Being Patriotic"" Facebook group had over 200,000 followers, and the ""Secured Borders"" Facebook group had over 130,000 followers.",Facebook,IRA,deactivation,2017,,negative,Facebook,,,
,"According to Facebook, in total the IRA-controlled accounts made over 80,000 posts before their deactivation in August 2017, and these posts reached at least 29 million U.S persons and ""may have reached an estimated 126 million people.""",IRA,U.S persons,media operations,,2016,negative,"Colin Stretch, General Counsel of Facebook",,,
,"According to Facebook, in total the IRA-controlled accounts made over 80,000 posts before their deactivation in August 2017, and these posts reached at least 29 million U.S persons and ""may have reached an estimated 126 million people.""",Facebook,IRA,deactivation,2017,,negative,"Colin Stretch, General Counsel of Facebook",,,
,A number of IRA employees assigned to the Translator Department served as Twitter specialists.,Translator Department,IRA,consolidation,,2014,is part of ,,,,
,A number of IRA employees assigned to the Translator Department served as Twitter specialists.,IRA,IRA,media platform,,2014,neutral,,,,
,The IRA's Twitter operations involved two strategies. ,IRA,Twitter,media platform,,2014,neutral,,,,
,"First, IRA specialists operated certain Twitter accounts to create individual U.S. personas",IRA,Twitter,media platform,,2014,neutral,,,,
,"Separately, the IRA operated a network of automated Twitter accounts (commonly referred to as a bot network) that enabled the IRA to amplify existing content on Twitter.",IRA,Twitter,media platform,,2014,neutral,,,,
35,"The IRA operated individualized Twitter accounts similar to the operation of its Facebook accounts, by continuously posting original content to the accounts while also communicating with U.S. Twitter users directly (through public tweeting or Twitter's private messaging). ",IRA,Twitter,media platform,,2014,neutral,,,,
,"The IRA operated individualized Twitter accounts similar to the operation of its Facebook accounts, by continuously posting original content to the accounts while also communicating with U.S. Twitter users directly (through public tweeting or Twitter's private messaging). ",IRA,Facebook,media platform,,2014,neutral,,,,
,The IRA used many of these accounts to attempt to influence U.S. audiences on the election.  ,IRA,U.S. audiences,media operations,,2014,negative,,,,
,"In May 2016, the IRA created the Twitter account march_for_trump, which promoted IRA-organized rallies in support of the Trump Campaign (described below). ",IRA,Twitter,media platform,16-May,,neutral,,,,
,"In May 2016, the IRA created the Twitter account march_for_trump, which promoted IRA-organized rallies in support of the Trump Campaign (described below). ",IRA,Trump Campaign,support,16-May,,positive,Twitter  ,,30/5/2016,
,"Using these accounts and others, the IRA provoked reactions from users and the media. ",IRA,users,media operations,,2014,negative,Twitter  ,,,
,U.S. media outlets also quoted tweets from IRA-controlled accounts and attributed them to the reactions of real U.S. persons.,U.S. media,IRA,tweet quote,,,neutral,Josephine Lukito & Chris Wells; Washington Post; U.S. News & World Report,,8/3/2016; 15/1/2016; 12/12/2016,
36,Multiple individuals affiliated with the Trump Campaign also promoted IRA tweets (discussed below).,Trump Campaign,IRA,tweet response,,,neutral,,,,
,"In January 2018, Twitter publicly identified 3,814 Twitter accounts associated with the IRA.",Twitter,IRA,identification,18-Jan,,neutral,Eli Rosenberg,,19/1/2019,
37,Twitter also announced that it had notified approximately 1.4 million people who Twitter believed may have been in contact with an IRA-controlled account.,Twitter,IRA,identification,,,neutral,Twitter  ,,31/1/2018,
,The IRA organized and promoted political rallies inside the United States while posing as U.S. grassroots activists.  ,IRA,U.S. grassroots activists,fake identities,,,is part of ,,,,
,"First, the IRA used one of its  preexisting social media personas (Facebook groups and Twitter accounts, for example) to announce and promote the event.  ",IRA,Facebook,media platform,,,neutral,,,,
,"First, the IRA used one of its  preexisting social media personas (Facebook groups and Twitter accounts, for example) to announce and promote the event.  ",IRA,Twitter,media platform,,,neutral,,,,
,The Office identified dozens of U.S. rallies organized by the IRA.,The Office,IRA,identification,,,neutral,,,,
39,"From June 2016 until the end of the presidential Campaign, almost all of the U.S. rallies organized by the IRA focused on the U.S. election, often promoting the Trump Campaign and opposing the Clinton Campaign. ",IRA,Trump Campaign,support,16-Jun,,positive,,,,
,"From June 2016 until the end of the presidential Campaign, almost all of the U.S. rallies organized by the IRA focused on the U.S. election, often promoting the Trump Campaign and opposing the Clinton Campaign. ",IRA,Clinton Campaign,oppose,16-Jun,,negative,,,,
,"As early as 2014, the IRA instructed its employees to target U.S. persons who could be used to advance its operational goals. ",IRA,U.S. persons,recruitment,2014,,neutral,,,,
,"Initially, recruitment focused on U.S. persons who could amplify the content posted by the IRA. ",IRA,U.S. persons,recruitment,2014,,neutral,,,,
,"IRA employees frequently used Twitter, Facebook, and Instagram to contact and recruit U.S. persons who followed the group. The IRA recruited U.S. persons from across the political spectrum.",IRA,U.S. persons,recruitment,2014,,neutral,,,,
,"IRA employees frequently used Twitter, Facebook, and Instagram to contact and recruit U.S. persons who followed the group. The IRA recruited U.S. persons from across the political spectrum.",IRA,Twitter,media platform,2014,,neutral,,,,
,"IRA employees frequently used Twitter, Facebook, and Instagram to contact and recruit U.S. persons who followed the group. The IRA recruited U.S. persons from across the political spectrum.",IRA,Facebook,media platform,2014,,neutral,,,,
,"IRA employees frequently used Twitter, Facebook, and Instagram to contact and recruit U.S. persons who followed the group. The IRA recruited U.S. persons from across the political spectrum.",IRA,Instagram,media platform,2014,,neutral,,,,
,"The IRA also recruited moderators of conservative social media groups to promote IRA-generated content, as well as recruited individuals to perform political acts (such as walking around New York City dressed up as Santa Claus with a Trump mask). ",IRA,moderators of conservative social media groups,hire,,,neutral,Facebook Message,,19/8/2016,
,"[] as the IRA's online audience became larger, the IRA tracked U.S. persons with whom they communicated and had successfully tasked  with tasks ran in  from or anizin  rallies to takin  ictures with certain  political messages .",IRA,U.S. persons,tracking,,,neutral,,,,
41,The investigation identified two different forms of connections between the IRA and members of the Trump Campaign.,IRA,Trump Campaign,connection,,,neutral,,,,
,(The investigation identified no similar connections between the IRA and the Clinton Campaign.)  ,IRA,Clinton Campaign,(no) connection,,,neutral,,,,
,"First, on multiple occasions, members and surrogates of the Trump Campaign promoted-typically by linking, retweeting, or similar methods of reposting­pro-Trump or anti-Clinton content published by the IRA through IRA-controlled social media accounts. ",Trump Campaign,Trump,support,,,positive,,,,
,"First, on multiple occasions, members and surrogates of the Trump Campaign promoted-typically by linking, retweeting, or similar methods of reposting­pro-Trump or anti-Clinton content published by the IRA through IRA-controlled social media accounts. ",Trump Campaign,Clinton,oppose,,,negative,,,,
,"First, on multiple occasions, members and surrogates of the Trump Campaign promoted-typically by linking, retweeting, or similar methods of reposting­pro-Trump or anti-Clinton content published by the IRA through IRA-controlled social media accounts. ",Trump Campaign,IRA,connection,,,neutral,,,,
,"First, on multiple occasions, members and surrogates of the Trump Campaign promoted-typically by linking, retweeting, or similar methods of reposting­pro-Trump or anti-Clinton content published by the IRA through IRA-controlled social media accounts. ",IRA,Trump,support,,,positive,,,,
,"First, on multiple occasions, members and surrogates of the Trump Campaign promoted-typically by linking, retweeting, or similar methods of reposting­pro-Trump or anti-Clinton content published by the IRA through IRA-controlled social media accounts. ",IRA,Clinton,oppose,,,negative,,,,
,"Additionally, in a few instances, IRA employees represented themselves as U.S. persons to communicate with members of the Trump Campaign in an effort to seek assistance and coordination on IRA-organized political rallies inside the United States.  ",IRA,U.S. persons,fake identities,,,neutral,,,,
